Frequency (Flex) (Hz),Current (Flex) (A),Voltage (Flex) (V),Status (Flex) ,RPM (Flex),Power (Flex) (kW),Average Power (Flex) (kW),Driver Temperature (Flex) (C),P1 rev (IFM) (rpm),P2 v_rms (IFM) (m/s),a_peak (IFM) (m/s^2) ,a_rms (IFM) (m/s^2),Temp (IFM) (C),Crest (IFM) , P3 v_rms (IFM) (m/s),a_peak (IFM) (m/s^2),a_rms (IFM) (m/s^2),Temp (IFM) (C),Crest (IFM),P4 Amp (IFM) (mA)
3,30.05,0.41,112.2,901,0.06,0.0,25,1730,0.0027,2.8,1.1,26.0,2.5,0.0046,4.5,1.6,26.4,2.9,4.11
3,30.06,0.41,112.3,901,0.06,0.0,25,1732,0.0027,3.0,1.1,26.0,2.6,0.0046,4.6,1.6,26.4,3.0,4.11
3,30.19,0.42,112.9,905,0.07,0.0,25,1732,0.0028,2.9,1.1,26.0,2.6,0.0046,4.9,1.5,26.4,3.2,4.11
3,30.13,0.42,112.6,903,0.07,0.0,25,1728,0.0028,2.9,1.1,26.0,2.6,0.0047,4.9,1.6,26.3,3.1,4.11
3,30.05,0.41,112.3,901,0.06,0.0,25,1726,0.0028,3.0,1.1,26.0,2.6,0.0047,4.5,1.6,26.3,2.9,4.11
7,30.05,0.41,112.2,901,0.06,0.0,25,1728,0.0028,2.9,1.1,26.0,2.5,0.0047,4.6,1.6,26.3,2.9,4.11
3,30.05,0.41,112.2,901,0.07,0.0,25,1728,0.0028,2.9,1.1,26.0,2.6,0.0047,4.5,1.6,26.3,2.8,4.11
3,30.06,0.41,112.3,901,0.06,0.0,25,1728,0.0027,2.9,1.1,26.0,2.6,0.0046,4.3,1.6,26.3,2.8,4.11
3,30.0,0.41,112.0,900,0.06,0.0,25,1730,0.0028,2.8,1.1,26.0,2.5,0.0047,4.6,1.6,26.3,3.0,4.11
3,30.11,0.41,112.5,903,0.06,0.0,25,1730,0.0027,3.1,1.1,26.0,2.7,0.0046,4.5,1.6,26.3,2.9,4.11
3,30.12,0.42,112.5,903,0.06,0.0,25,1732,0.0028,2.9,1.2,26.0,2.5,0.0047,5.0,1.6,26.3,3.1,4.11
3,30.03,0.41,112.2,900,0.07,0.0,25,1726,0.0027,3.0,1.2,26.0,2.6,0.0047,4.6,1.6,26.3,2.9,4.11
3,30.05,0.41,112.3,901,0.07,0.0,25,1726,0.0028,2.8,1.1,26.0,2.4,0.0047,4.7,1.6,26.3,3.0,4.11
3,30.05,0.41,112.3,901,0.06,0.0,25,1728,0.0028,3.0,1.1,26.0,2.6,0.0047,4.7,1.6,26.3,3.0,4.1
3,30.05,0.41,112.2,901,0.06,0.0,25,1728,0.0028,2.8,1.1,26.0,2.5,0.0047,4.5,1.6,26.3,2.9,4.11
3,30.1,0.42,112.5,902,0.06,0.0,25,1730,0.0028,3.0,1.1,26.0,2.6,0.0047,4.6,1.6,26.3,2.9,4.11
3,30.03,0.41,112.1,900,0.06,0.0,25,1724,0.0027,3.4,1.2,26.0,3.0,0.0046,4.8,1.6,26.3,3.1,4.11
11,30.06,0.41,112.2,901,0.06,0.0,25,1736,0.0027,3.0,1.2,26.0,2.6,0.0046,4.8,1.6,26.2,3.0,4.11
3,30.07,0.41,112.3,902,0.06,0.0,25,1732,0.0028,3.1,1.2,26.0,2.7,0.0047,5.0,1.6,26.2,3.1,4.11
3,29.96,0.41,111.8,898,0.06,0.0,25,1732,0.0028,3.1,1.1,26.0,2.7,0.0047,5.2,1.6,26.2,3.2,4.11
3,30.06,0.41,112.3,901,0.06,0.0,25,1734,0.0028,3.0,1.1,26.0,2.6,0.0046,5.0,1.6,26.2,3.1,4.11
3,30.11,0.41,112.5,903,0.06,0.0,25,1732,0.0028,3.0,1.1,26.0,2.6,0.0047,4.5,1.6,26.2,2.9,4.11
3,30.05,0.41,112.3,901,0.06,0.0,25,1730,0.0028,2.9,1.2,26.0,2.5,0.0047,5.0,1.6,26.2,3.2,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1732,0.0028,3.0,1.2,26.0,2.6,0.0047,4.7,1.6,26.2,3.0,4.11
3,30.12,0.41,112.6,903,0.06,0.0,25,1730,0.0028,3.0,1.2,26.0,2.6,0.0047,5.1,1.6,26.2,3.2,4.11
3,29.99,0.41,111.9,899,0.06,0.0,25,1730,0.0027,2.9,1.1,26.0,2.6,0.0046,5.2,1.6,26.2,3.3,4.11
3,30.0,0.41,112.0,900,0.06,0.0,25,1732,0.0028,3.0,1.1,26.0,2.6,0.0046,4.9,1.6,26.2,3.1,4.1
3,30.06,0.41,112.4,901,0.06,0.0,25,1726,0.0028,2.9,1.1,26.0,2.5,0.0047,5.0,1.6,26.2,3.2,4.11
3,30.09,0.41,112.4,902,0.06,0.0,25,1730,0.0028,2.9,1.2,26.0,2.5,0.0048,4.8,1.6,26.2,3.0,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1726,0.0028,3.0,1.1,26.0,2.6,0.0048,4.8,1.6,26.2,3.0,4.11
3,30.06,0.41,112.3,901,0.06,0.0,25,1730,0.0028,2.9,1.2,26.0,2.5,0.0046,5.0,1.6,26.2,3.1,4.11
3,30.12,0.41,112.4,903,0.06,0.0,25,1732,0.0028,2.9,1.1,26.0,2.6,0.0047,4.6,1.6,26.2,2.9,4.11
3,30.07,0.41,112.2,902,0.06,0.0,25,1734,0.0028,2.9,1.2,26.0,2.5,0.0047,4.6,1.6,26.2,2.9,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1732,0.0028,2.9,1.2,25.9,2.4,0.0047,5.1,1.6,26.2,3.1,4.11
3,30.09,0.41,112.4,903,0.06,0.0,25,1730,0.0028,2.9,1.1,25.9,2.5,0.0047,4.8,1.6,26.1,3.0,4.11
3,30.01,0.41,112.1,900,0.06,0.0,25,1732,0.0028,3.0,1.1,25.9,2.7,0.0048,4.8,1.6,26.1,3.0,4.11
3,30.1,0.41,112.5,903,0.06,0.0,25,1732,0.0028,2.8,1.2,25.9,2.4,0.0047,4.9,1.6,26.1,3.0,4.11
3,30.1,0.41,112.5,903,0.06,0.0,25,1732,0.0028,3.0,1.2,25.9,2.5,0.0047,4.7,1.6,26.1,2.9,4.11
3,30.05,0.41,112.2,901,0.06,0.0,25,1730,0.0028,3.2,1.2,25.9,2.7,0.0047,4.9,1.6,26.1,3.0,4.1
3,30.09,0.41,112.5,903,0.06,0.0,25,1732,0.0028,3.1,1.1,25.9,2.8,0.0048,5.0,1.6,26.1,3.2,4.11
3,29.99,0.41,112.1,899,0.06,0.0,25,1728,0.0028,2.9,1.1,25.9,2.5,0.0047,4.7,1.6,26.1,3.0,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1732,0.0028,3.0,1.2,25.9,2.6,0.0047,4.8,1.6,26.1,3.0,4.11
3,30.05,0.41,112.2,901,0.06,0.0,25,1728,0.0028,3.3,1.2,25.9,2.9,0.0047,5.0,1.6,26.1,3.1,4.11
3,30.04,0.41,112.3,901,0.06,0.0,25,1726,0.0028,3.0,1.1,25.9,2.6,0.0049,4.8,1.6,26.1,3.0,4.11
3,30.04,0.41,112.2,901,0.06,0.0,25,1730,0.0028,2.7,1.2,25.9,2.3,0.0047,4.8,1.6,26.1,3.0,4.11
3,30.05,0.41,112.2,901,0.06,0.0,25,1730,0.0028,2.9,1.2,25.9,2.5,0.0047,4.5,1.6,26.1,2.8,4.11
3,30.11,0.41,112.5,903,0.06,0.0,25,1730,0.0028,3.5,1.2,25.9,3.0,0.0048,4.9,1.6,26.1,3.0,4.11
3,30.03,0.41,112.1,900,0.06,0.0,25,1728,0.0028,2.9,1.1,25.9,2.6,0.0048,5.0,1.6,26.1,3.1,4.11
3,30.06,0.41,112.3,901,0.07,0.0,25,1730,0.0028,2.9,1.1,25.9,2.6,0.0048,5.1,1.6,26.1,3.2,4.11
3,30.05,0.41,112.3,901,0.06,0.0,25,1726,0.0028,3.1,1.1,25.9,2.7,0.0049,4.7,1.6,26.1,3.0,4.11
3,30.0,0.41,111.9,900,0.06,0.0,25,1732,0.0028,3.0,1.2,25.9,2.6,0.0047,4.8,1.6,26.1,3.0,4.11
3,30.0,0.41,112.0,900,0.06,0.0,25,1732,0.0028,3.1,1.2,25.9,2.7,0.0047,5.0,1.6,26.1,3.1,4.1
3,30.06,0.41,112.3,901,0.06,0.0,25,1728,0.0028,3.3,1.1,25.9,2.9,0.0048,4.6,1.6,26.1,2.9,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1734,0.0028,3.0,1.2,25.9,2.6,0.0048,4.6,1.6,26.1,2.9,4.11
3,30.0,0.41,111.9,900,0.06,0.0,25,1730,0.0028,3.1,1.2,25.9,2.6,0.0048,4.7,1.6,26.1,2.9,4.11
3,30.05,0.41,112.2,901,0.06,0.0,25,1732,0.0028,2.9,1.1,25.9,2.5,0.0049,4.8,1.6,26.1,2.9,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1732,0.0028,3.0,1.2,25.9,2.6,0.0047,4.7,1.6,26.0,2.9,4.11
3,29.99,0.41,112.0,900,0.06,0.0,25,1728,0.0028,3.1,1.2,25.9,2.7,0.0048,4.8,1.6,26.0,3.0,4.1
3,30.06,0.41,112.2,902,0.06,0.0,25,1732,0.0028,3.2,1.2,25.9,2.7,0.0048,4.6,1.6,26.0,2.8,4.11
3,30.06,0.41,112.3,901,0.06,0.0,25,1730,0.0028,3.7,1.1,25.9,3.2,0.0049,4.9,1.6,26.0,3.0,4.11
3,30.06,0.41,112.3,901,0.06,0.0,25,1730,0.0028,2.9,1.1,25.9,2.5,0.0048,4.9,1.6,26.0,3.0,4.11
3,30.05,0.41,112.2,901,0.06,0.0,25,1732,0.0028,3.0,1.2,25.9,2.6,0.0049,4.5,1.6,26.0,2.8,4.11
3,30.0,0.41,112.0,900,0.06,0.0,25,1730,0.0028,3.5,1.2,25.9,3.0,0.0049,4.8,1.6,26.0,2.9,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1730,0.0028,3.1,1.2,25.9,2.6,0.0048,5.4,1.7,26.0,3.3,4.11
3,29.99,0.41,111.9,900,0.06,0.0,25,1726,0.0028,3.1,1.1,25.9,2.8,0.0048,4.7,1.6,26.0,2.9,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1734,0.0028,3.1,1.2,25.9,2.6,0.0047,4.6,1.7,26.0,2.8,4.11
3,30.1,0.41,112.5,902,0.06,0.0,25,1730,0.0029,3.1,1.1,25.9,2.7,0.005,4.9,1.6,26.0,3.0,4.11
3,30.06,0.41,112.2,902,0.06,0.0,25,1734,0.0028,3.1,1.2,25.9,2.7,0.0048,5.1,1.6,26.0,3.1,4.11
3,30.1,0.41,112.5,903,0.07,0.0,25,1728,0.0028,2.8,1.1,25.9,2.6,0.005,5.0,1.6,26.0,3.1,4.11
3,30.06,0.41,112.2,901,0.06,0.0,25,1736,0.0028,3.1,1.2,25.9,2.6,0.0048,4.9,1.6,26.0,3.0,4.11
3,30.11,0.41,112.4,903,0.06,0.0,25,1732,0.0028,3.1,1.2,25.9,2.7,0.0049,4.8,1.7,26.0,2.9,4.11
3,30.05,0.41,112.2,901,0.06,0.0,25,1734,0.0028,3.0,1.1,25.9,2.7,0.0048,4.9,1.6,26.0,3.0,4.11
3,30.06,0.41,112.3,901,0.06,0.0,25,1730,0.0028,2.8,1.1,25.9,2.5,0.0049,4.7,1.6,26.0,2.9,4.11
3,30.12,0.41,112.4,903,0.06,0.0,25,1732,0.0028,3.0,1.2,25.9,2.5,0.0048,5.1,1.6,26.0,3.1,4.11
3,30.09,0.41,112.3,903,0.06,0.0,25,1732,0.0028,2.9,1.2,25.9,2.5,0.0049,5.0,1.6,26.0,3.1,4.11
